title,# pages,year of publication,author,publisher,year of birth,year of death,nationality,sex,language,
la valle oscura,309,2020,anna wiener,adelphi,1987,/,USA,f,italiano,
gioco all'alba,152,1961,arthur schnitzler,adelphi,1862,1931,AUSTRIA,m,italiano,
il ritorno di casanova,149,1900,arthur schnitzler,adelphi,1862,1931,AUSTRIA,m,italiano,
helgoland,227,2020,carlo rovelli,adelphi,1956,/,ITALY,m,italiano,
"godel, escher, bach",852,1979,douglas r. hofstadter,adelphi,1977,/,USA,m,italiano,
quando la terra aveva due lune,445,2021,erik asphaug,adelphi,1961,/,NORWAY,m,italiano,
lo zen e il tiro con l'arco,100,1948,eugen herrigel,adelphi,1884,1955,GERMANY,m,italiano,
il tao della fisica,381,1975,fritjof capra,adelphi,1939,/,AUSTRIA,m,italiano,
inquietanti azioni a distanza,348,2015,geroge musser,adelphi,195,/,USA,m,italiano,
siddharta,180,1922,hermann hesse,adelphi,1877,1962,GERMANY,m,italiano,
sender prager,74,2015,i.j. singer,adelphi,1893,1944,POLAND,m,italiano,
sulla realtà dei quanti - un dialogo galileiano,137,1996,J.M. Jauch,adelphi,1914,1974,SWITZERLAND-USA,m,italiano,
massa,287,2019,jim baggott,adelphi,1957,/,ENGLAND,m,italiano,
origini,438,2017,jim baggott,adelphi,1957,/,ENGLAND,m,italiano,
dicibile e indicibile in meccanica quantistica,390,1987,john s. bell,adelphi,1928,1990,ENGLAND,m,italiano,
giobbe - romanzo di un uomo semplice,195,1930,joseph roth ,adelphi,1894,1939,AUSTRIA,m,italiano,
la cripta dei cappuccini,195,1950,joseph roth ,adelphi,1894,1939,AUSTRIA,m,italiano,
la leggenda del santo bevitore,77,1939,joseph roth ,adelphi,1894,1939,AUSTRIA,m,italiano,
pensieri diversi,163,1977,ludwig wittgenstein,adelphi,1889,1951,AUSTRIA-ENGLAND,m,italiano,
e allora siamo andati via,134,2001,micheal kimball,adelphi,1967,/,USA,m,italiano,
il mio biliardo,184,2001,mordecai richler,adelphi,1931,2001,CANADA,m,italiano,
la versione di barney,490,1997,mordecai richler,adelphi,1931,2001,CANADA,m,italiano,
l'uomo che scambiò sua moglie per un cappello,318,1985,oliver sacks,adelphi,1923,2015,ENGLAND,m,italiano,
su una gamba sola,241,1984,oliver sacks,adelphi,1923,2015,ENGLAND,m,italiano,
andorra,236,2014,peter cameron,adelphi,1959,/,USA,m,italiano,
coral glynn,212,2012,peter cameron,adelphi,1959,/,USA,m,italiano,
cose che succedono la notte,241,2020,peter cameron,adelphi,1959,/,USA,m,italiano,
